Game;;Result;Moves;Year;Event/Locale;Opening
98. Kasparov vs Yermolinsky;;0-1;48;1977;Junior Tournament;B67 Sicilian, Richter-Rauzer Attack, 7...a6 Defense, 8...Bd7
99. Kasparov vs Dolmatov;;½-½;28;1977;Junior Tournament;B45 Sicilian, Taimanov
100. Yermolinsky vs Kasparov;;0-1;68;1977;Junior Tournament;A07 King's Indian Attack
Game;;Result;Moves;Year;Event/Locale;Opening
101. Kasparov vs Yusupov;;½-½;20;1977;Junior Tournament;C42 Petrov Defense
102. E Magerramov vs Kasparov;;½-½;20;1977;Junior Tournament;D59 Queen's Gambit Declined, Tartakower
103. A V Kharitonov vs Kasparov;;1-0;43;1977;Junior Tournament;A15 English
104. Yusupov vs Kasparov;;½-½;41;1977;Junior Tournament;A05 Reti Opening
105. Kasparov vs A V Kharitonov;;1-0;34;1977;Junior Tournament;C69 Ruy Lopez, Exchange, Gligoric Variation
106. Kasparov vs Lanka;;1-0;40;1977;Junior Tournament;E90 King's Indian
107. Kasparov vs Dolmatov;;½-½;28;1977;Junior Tournament;B45 Sicilian, Taimanov
108. Kasparov vs L Zaid;;1-0;43;1977;Junior Tournament;B97 Sicilian, Najdorf
109. Kasparov vs Yermolinsky;;0-1;48;1977;Junior Tournament;B67 Sicilian, Richter-Rauzer Attack, 7...a6 Defense, 8...Bd7
110. A Nikitin vs Kasparov;;½-½;72;1977;Baku training1;E92 King's Indian
111. Kasparov vs J O Fries-Nielsen;;1-0;53;1977;Wch U17;C69 Ruy Lopez, Exchange, Gligoric Variation
112. Kasparov vs A Negulescu;;1-0;43;1977;Wch U17;A48 King's Indian
113. A Sendur vs Kasparov;;0-1;41;1977;Wch U17;E61 King's Indian
114. M Kappe vs Kasparov;;1-0;52;1977;Wch U17;A00 Uncommon Opening
115. Kasparov vs D Weider;;1-0;25;1977;Wch U17;A50 Queen's Pawn Game
116. Kasparov vs J Whitehead;;½-½;28;1977;Wch U17;D02 Queen's Pawn Game
117. J Aulin-Jansson vs Kasparov;;0-1;22;1977;Wch U17;B45 Sicilian, Taimanov
118. J Arnason vs Kasparov;;0-1;40;1977;Wch U17;B84 Sicilian, Scheveningen
119. Kasparov vs I Morovic Fernandez;;½-½;31;1977;Wch U17;A54 Old Indian, Ukrainian Variation, 4.Nf3
120. Kasparov vs C McNab;;½-½;43;1977;Wch U17;B06 Robatsch
121. M Santo-Roman vs Kasparov;;½-½;42;1977;Wch U17;B90 Sicilian, Najdorf
122. Kasparov vs G West;;1-0;12;1977;telex;B40 Sicilian
123. A Ambartsoumian vs Kasparov;;0-1;26;1978;URS;E54 Nimzo-Indian, 4.e3, Gligoric System
124. Kasparov vs R Akopov;;1-0;30;1978;URS;B83 Sicilian
125. Kasparov vs F Sideifzade;;1-0;24;1978;URS;B83 Sicilian
Game;;Result;Moves;Year;Event/Locale;Opening
126. Kasparov vs Taimanov;;1-0;14;1978;Moscow;A06 Reti Opening
127. Kasparov vs F Sideifzade;;1-0;24;1978;URS;B83 Sicilian
128. V Dydyshko vs Kasparov;;1-0;42;1978;Sokolsky Memorial;E75 King's Indian, Averbakh, Main line
129. Kasparov vs V Litvinov;;1-0;26;1978;Sokolsky Memorial;C91 Ruy Lopez, Closed
130. Kasparov vs A Roizman;;1-0;27;1978;Sokolsky Memorial;C61 Ruy Lopez, Bird's Defense
131. Kasparov vs Kupreichik;;½-½;59;1978;Sokolsky Memorial;D38 Queen's Gambit Declined, Ragozin Variation
132. A I Zakharov vs Kasparov;;½-½;14;1978;Sokolsky Memorial;A07 King's Indian Attack
133. Kasparov vs S Begun;;1-0;24;1978;Sokolsky Memorial;D42 Queen's Gambit Declined, Semi-Tarrasch, 7.Bd3
134. B Maryasin vs Kasparov;;0-1;50;1978;Sokolsky Memorial;B80 Sicilian, Scheveningen
135. S Yuferov vs Kasparov;;0-1;59;1978;Sokolsky Memorial;E98 King's Indian, Orthodox, Taimanov, 9.Ne1
136. Kasparov vs A Kapengut;;1-0;44;1978;Sokolsky Memorial;A34 English, Symmetrical
137. Kasparov vs Klovans;;½-½;15;1978;Sokolsky Memorial;D37 Queen's Gambit Declined
138. N Kagan vs Kasparov;;0-1;42;1978;Sokolsky Memorial;A48 King's Indian
139. M Shereshevsky vs Kasparov;;0-1;32;1978;Sokolsky Memorial;A48 King's Indian
140. Kasparov vs V Smirnov;;½-½;44;1978;Sokolsky Memorial;B46 Sicilian, Taimanov Variation
141. V Veremeichik vs Kasparov;;0-1;41;1978;Sokolsky Memorial;E84 King's Indian, Samisch, Panno Main line
142. A Ljuboschiz vs Kasparov;;0-1;38;1978;Sokolsky Memorial;B10 Caro-Kann
143. Kasparov vs Lutikov;;1-0;56;1978;Sokolsky Memorial;A46 Queen's Pawn Game
144. E Mochalov vs Kasparov;;1-0;40;1978;Sokolsky Memorial;A15 English
