Game;;Result;Moves;Year;Event/Locale;Opening
96. R Edvardsen vs Carlsen;;½-½;23;2001;Troll Masters;D12 Queen's Gambit Declined Slav
97. Carlsen vs A F Brameld;;0-1;35;2001;Troll Masters;B05 Alekhine's Defense, Modern
98. Carlsen vs G Fant;;1-0;28;2001;Troll Masters;C16 French, Winawer
99. G Tallaksen Ostmoe vs Carlsen;;½-½;30;2001;Troll Masters;D35 Queen's Gambit Declined
100. Carlsen vs J A Nilssen;;0-1;22;2001;Troll Masters;B32 Sicilian
Game;;Result;Moves;Year;Event/Locale;Opening
101. C Grubert vs Carlsen;;1-0;24;2001;Troll Masters;C42 Petrov Defense
102. Carlsen vs K R Johansen;;1-0;30;2001;Troll Masters;B06 Robatsch
103. H Sorensen vs Carlsen;;1-0;50;2001;Troll Masters;D48 Queen's Gambit Declined Semi-Slav, Meran
104. Carlsen vs A G R Moen;;0-1;29;2001;Troll Masters;C42 Petrov Defense
105. Carlsen vs O Bentsen;;½-½;24;2001;Asker SK Club Ch Group Master;C67 Ruy Lopez
106. R Edvardsen vs Carlsen;;1-0;47;2001;Ostlandsserien 2A (TCh-NOR Qual);C48 Four Knights
107. H R Thjomoe vs Carlsen;;0-1;39;2001;Asker SK Club Ch Group Master;C48 Four Knights
108. Carlsen vs Neil Benn;;1-0;38;2001;NTG Grand Prix Group A;B41 Sicilian, Kan
109. S Randjelovic vs Carlsen;;0-1;37;2001;NTG Grand Prix Group A;A34 English, Symmetrical
110. R J Moen vs Carlsen;;1-0;14;2001;NTG Grand Prix Group A;E00 Queen's Pawn Game
111. Carlsen vs P Omtvedt;;½-½;29;2001;NTG Grand Prix Group A;B02 Alekhine's Defense
112. J Snellingen vs Carlsen;;1-0;23;2001;NTG Grand Prix Group A;C21 Center Game
113. Carlsen vs Thor Johansen;;1-0;32;2001;Asker SK Club Ch Group Master;D51 Queen's Gambit Declined
114. Carlsen vs Gjermund Sorseth;;1-0;28;2001;Ostlandsserien 2A (TCh-NOR Qual);B33 Sicilian
115. Carlsen vs E Blomqvist;;1-0;21;2001;Nordic Youth Ch Group E;C78 Ruy Lopez
116. A Sofiev vs Carlsen;;0-1;40;2001;Nordic Youth Ch Group E;C42 Petrov Defense
117. P Skovgaard vs Carlsen;;0-1;37;2001;Nordic Youth Ch Group E;A56 Benoni Defense
118. Carlsen vs J L Hammer;;1-0;45;2001;Nordic Youth Ch Group E;D31 Queen's Gambit Declined
119. M Viljanen vs Carlsen;;0-1;41;2001;Nordic Youth Ch Group E;A45 Queen's Pawn Game
120. Carlsen vs Michael Rosbach;;½-½;36;2001;Nordic Youth Ch Group E;C60 Ruy Lopez
121. Carlsen vs Reidar Agdestein;;1-0;43;2001;Asker SK Club Ch Group Master;B83 Sicilian
122. A Hammerstad vs Carlsen;;1-0;31;2001;Asker SK Club Ch Group Master;E97 King's Indian
123. Sverre Hoegh Krohn vs Carlsen;;0-1;25;2001;Ostlandsserien 2A (TCh-NOR Qual);E67 King's Indian, Fianchetto
124. Carlsen vs Alf Overas;;½-½;31;2001;Ostlandsserien 2A (TCh-NOR Qual);A16 English
125. Lars Gunnesdal vs Carlsen;;0-1;28;2001;Asker SK Club Ch Group Master;C42 Petrov Defense
Game;;Result;Moves;Year;Event/Locale;Opening
126. Carlsen vs J Aulin-Jansson;;½-½;59;2001;Asker SK Club Ch Group Master;A38 English, Symmetrical
127. O Hagberg vs Carlsen;;0-1;38;2001;Norwegian Open;C42 Petrov Defense
128. Carlsen vs S Sollid;;0-1;26;2001;Norwegian Open;C63 Ruy Lopez, Schliemann Defense
129. Richard Flores vs Carlsen;;0-1;37;2001;Norwegian Open;B77 Sicilian, Dragon, Yugoslav Attack
130. Carlsen vs L Breivik;;0-1;38;2001;Norwegian Open;B02 Alekhine's Defense
131. A Kabashaj vs Carlsen;;0-1;42;2001;Norwegian Open;A46 Queen's Pawn Game
132. Carlsen vs S Rukovci;;½-½;6;2001;Norwegian Open;A21 English
133. C Aarefjord vs Carlsen;;0-1;53;2001;Norwegian Open;C46 Three Knights
134. Carlsen vs S A Johansen;;1-0;33;2001;Norwegian Open;B02 Alekhine's Defense
135. B Badea vs Carlsen;;1-0;39;2001;Norwegian Open;A07 King's Indian Attack
136. Carlsen vs E Vegh;;0-1;34;2001;Gausdal Classics IM-A;B40 Sicilian
137. Carlsen vs O Hole;;0-1;36;2001;Gausdal Classics IM-A;B12 Caro-Kann Defense
138. D Hersvik vs Carlsen;;½-½;51;2001;Gausdal Classics IM-A;A38 English, Symmetrical
139. Carlsen vs E Hermansson;;0-1;34;2001;Gausdal Classics IM-A;B12 Caro-Kann Defense
140. G Lnenickova vs Carlsen;;1-0;43;2001;Gausdal Classics IM-A;C86 Ruy Lopez, Worrall Attack
141. Carlsen vs A Caoili;;½-½;34;2001;Gausdal Classics IM-A;B43 Sicilian, Kan, 5.Nc3
142. M Petrov vs Carlsen;;½-½;44;2001;Gausdal Classics IM-A;B22 Sicilian, Alapin
143. Carlsen vs H Lahlum;;½-½;42;2001;Gausdal Classics IM-A;C02 French, Advance
144. B Kvisvik vs Carlsen;;½-½;6;2001;Gausdal Classics IM-A;B40 Sicilian
145. Carlsen vs C Aarnes;;1-0;35;2001;Ernst Rojahn Memorial Group B;B12 Caro-Kann Defense
146. Carlsen vs P Skogli;;1-0;36;2001;Ernst Rojahn Memorial Group B;D30 Queen's Gambit Declined
147. Kristoffer Haugan vs Carlsen;;0-1;54;2001;Ernst Rojahn Memorial Group B;A35 English, Symmetrical
148. R Haug vs Carlsen;;½-½;24;2001;Ernst Rojahn Memorial Group B;A87 Dutch, Leningrad, Main Variation
149. T Narvoy vs Carlsen;;0-1;29;2001;Ernst Rojahn Memorial Group B;D31 Queen's Gambit Declined
150. Stein Nygaard vs Carlsen;;½-½;25;2001;Asker SK Club Ch Group Master;A04 Reti Opening
Game;;Result;Moves;Year;Event/Locale;Opening
151. Carlsen vs T Hall;;1-0;38;2001;Asker SK Club Ch Group Master;B07 Pirc
152. Carlsen vs V Loginov;;0-1;42;2001;Roenne SF 100th Anniversary;A37 English, Symmetrical
153. Morten Kjaer Poulsen vs Carlsen;;1-0;32;2001;Roenne SF 100th Anniversary;B98 Sicilian, Najdorf
154. R Kraft vs Carlsen;;0-1;58;2001;Roenne SF 100th Anniversary;A46 Queen's Pawn Game
155. I Tetenkina vs Carlsen;;½-½;23;2001;Roenne SF 100th Anniversary;A34 English, Symmetrical
156. Carlsen vs E Tairova;;1-0;47;2001;Roenne SF 100th Anniversary;A87 Dutch, Leningrad, Main Variation
157. Carlsen vs H Malm Lindberg;;0-1;53;2001;Roenne SF 100th Anniversary;B30 Sicilian
158. Morten Kock Moller vs Carlsen;;0-1;42;2001;Roenne SF 100th Anniversary;B05 Alekhine's Defense, Modern
159. Carlsen vs M Baekgaard;;½-½;51;2001;Roenne SF 100th Anniversary;C03 French, Tarrasch
160. A Hauschild vs Carlsen;;1-0;47;2001;Roenne SF 100th Anniversary;D50 Queen's Gambit Declined
161. Joshua Paul Schmidt vs Carlsen;;½-½;45;2001;NOR Championship Group Junior;B52 Sicilian, Canal-Sokolsky (Rossolimo) Attack
162. T Nyland vs Carlsen;;½-½;70;2001;NOR Championship Group Junior;B32 Sicilian
163. H Haugsrud vs Carlsen;;0-1;22;2001;NOR Championship Group Junior;A02 Bird's Opening
164. Carlsen vs J A Ingvaldsen;;½-½;12;2001;NOR Championship Group Junior;A04 Reti Opening
165. I A Abusdal vs Carlsen;;½-½;33;2001;NOR Championship Group Junior;A02 Bird's Opening
166. Carlsen vs Brage Brakedal;;1-0;37;2001;NOR Championship Group Junior;B43 Sicilian, Kan, 5.Nc3
167. Carlsen vs T J Svensen;;1-0;47;2001;NOR Championship Group Junior;E08 Catalan, Closed
168. S Gabrielsen vs Carlsen;;0-1;41;2001;Bergen Chess International;D37 Queen's Gambit Declined
169. Carlsen vs T Thorhallsson;;½-½;52;2001;Bergen Chess International;A57 Benko Gambit
170. J A Nilssen vs Carlsen;;1-0;48;2001;Bergen Chess International;E06 Catalan, Closed, 5.Nf3
171. Carlsen vs Y Miellet-Bensan;;0-1;51;2001;Bergen Chess International;B33 Sicilian
172. K Stokke vs Carlsen;;½-½;12;2001;Bergen Chess International;A36 English
173. D Hersvik vs Carlsen;;½-½;66;2001;Bergen Chess International;A07 King's Indian Attack
174. Carlsen vs T Plachkinova;;0-1;49;2001;Bergen Chess International;D16 Queen's Gambit Declined Slav
175. M Weighell vs Carlsen;;1-0;21;2001;Bergen Chess International;B21 Sicilian, 2.f4 and 2.d4
Game;;Result;Moves;Year;Event/Locale;Opening
176. Carlsen vs A Flaata;;1-0;38;2001;Bergen Chess International;B00 Uncommon King's Pawn Opening
177. Neil Benn vs Carlsen;;0-1;49;2001;Asker SK Club Tourn Group Master;E12 Queen's Indian
178. Rolf Rostad vs Carlsen;;0-1;25;2001;Asker SK Club Tourn Group Master;B90 Sicilian, Najdorf
179. I Asmundsson vs Carlsen;;0-1;47;2001;II Nordic Net Club Cup;B31 Sicilian, Rossolimo Variation
180. Carlsen vs D Stojanovski;;½-½;20;2001;European Club Cup;A34 English, Symmetrical
181. J Banas vs Carlsen;;1-0;70;2001;European Club Cup;A35 English, Symmetrical
182. Carlsen vs P Scheffknecht;;1-0;58;2001;European Club Cup;B42 Sicilian, Kan
183. P Reynolds vs Carlsen;;½-½;22;2001;European Club Cup;A45 Queen's Pawn Game
184. Carlsen vs K Indrebo;;1-0;35;2001;European Club Cup;A81 Dutch
185. M Kouvatsou vs Carlsen;;½-½;37;2001;European Club Cup;C55 Two Knights Defense
186. S L Clements vs Carlsen;;0-1;62;2001;European Club Cup;B95 Sicilian, Najdorf, 6...e6
187. Carlsen vs J Aulin-Jansson;;1-0;28;2001;Asker SK Club Tourn Group Master;E16 Queen's Indian
188. D Palo vs Carlsen;;1-0;34;2001;Nordic Junior Team Ch;E16 Queen's Indian
189. Carlsen vs Nyback;;½-½;49;2001;Nordic Junior Team Ch;A42 Modern Defense, Averbakh System
190. A Mohammadi vs Carlsen;;1-0;60;2001;Nordic Junior Team Ch;C22 Center Game
191. Carlsen vs Petter Lund;;1-0;13;2001;Asker SK Club Tourn Group Master;B01 Scandinavian
192. Carlsen vs Per Erik Fredriksen;;1-0;28;2001;NOR Junior Team Championship;E54 Nimzo-Indian, 4.e3, Gligoric System
193. H Borchgrevink vs Carlsen;;½-½;27;2001;NOR Junior Team Championship;E04 Catalan, Open, 5.Nf3
194. Carlsen vs T R Nielsen;;0-1;38;2001;NOR Junior Team Championship;D06 Queen's Gambit Declined
195. Yi Kong Xiang vs Carlsen;;0-1;26;2001;NOR Junior Team Championship;B84 Sicilian, Scheveningen
196. S Randjelovic vs Carlsen;;½-½;28;2001;NOR Junior Team Championship;E80 King's Indian, Samisch Variation
197. Carlsen vs Henrik G Arnesen;;1-0;28;2001;NOR Junior Team Championship;B01 Scandinavian
198. Carlsen vs T Hall;;1-0;44;2001;Asker SK Club Ch Group Master;B07 Pirc
199. G Kacheishvili vs Carlsen;;1-0;63;2001;V Offene Bayerische Meisterschaft;E32 Nimzo-Indian, Classical
200. Carlsen vs W Schoenegg;;1-0;43;2001;V Offene Bayerische Meisterschaft;E80 King's Indian, Samisch Variation
Game;;Result;Moves;Year;Event/Locale;Opening
201. H Kummerow vs Carlsen;;½-½;96;2001;V Offene Bayerische Meisterschaft;B63 Sicilian, Richter-Rauzer Attack
202. Carlsen vs H Horther;;1-0;37;2001;V Offene Bayerische Meisterschaft;C07 French, Tarrasch
203. I Lada vs Carlsen;;1-0;42;2001;V Offene Bayerische Meisterschaft;A35 English, Symmetrical
204. W Daurer vs Carlsen;;0-1;62;2001;V Offene Bayerische Meisterschaft;B56 Sicilian
205. Carlsen vs M Vaculik;;1-0;27;2001;V Offene Bayerische Meisterschaft;A00 Uncommon Opening
206. Carlsen vs G Wachinger;;½-½;15;2001;V Offene Bayerische Meisterschaft;B42 Sicilian, Kan
207. C Braun vs Carlsen;;½-½;41;2001;V Offene Bayerische Meisterschaft;E32 Nimzo-Indian, Classical
208. G Gaasland vs Carlsen;;0-1;25;2001;Ostlandserien 01/02 div. 1, Follo - Asker;E32 Nimzo-Indian, Classical
209. K Ribbegren vs Carlsen;;1-0;28;2001;Ostlandserien 01/02 div. 1, Asker - ASKO I;E30 Nimzo-Indian, Leningrad
210. Thor Johansen vs Carlsen;;0-1;35;2001;Asker SK Club Tourn Group Master;E32 Nimzo-Indian, Classical
211. O Bentsen vs Carlsen;;1-0;64;2001;Asker SK Club Tourn Group Master;B56 Sicilian
212. Carlsen vs Jon Magnus Nielsen;;1-0;44;2001;Norwegian Youth Ch Group D;D06 Queen's Gambit Declined
213. A Boyum Fossum vs Carlsen;;0-1;25;2001;Norwegian Youth Ch Group D;A38 English, Symmetrical
214. A H Kvinge vs Carlsen;;0-1;30;2001;Norwegian Youth Ch Group D;B31 Sicilian, Rossolimo Variation
215. Carlsen vs J L Hammer;;1-0;30;2001;Norwegian Youth Ch Group D;C18 French, Winawer
216. Carlsen vs M Kvinge Tande;;1-0;26;2001;Norwegian Youth Ch Group D;D02 Queen's Pawn Game
217. Carlsen vs S Reppen;;1-0;40;2001;Norwegian Youth Ch Group D;A15 English
218. Haakon Oksnevad vs Carlsen;;0-1;51;2001;Norwegian Youth Ch Group D;B31 Sicilian, Rossolimo Variation
219. Jan Soyland vs Carlsen;;0-1;41;2001;Asker SK Club Tourn Group Master;D56 Queen's Gambit Declined
220. R T Andersen vs Carlsen;;0-1;32;2001;Ostlandserien 01/02 div. 1, SOSS - Asker;E53 Nimzo-Indian, 4.e3
221. Carlsen vs H R Thjomoe;;1-0;31;2001;Asker SK Club Tourn Group Master;B30 Sicilian
222. V Taksrud vs Carlsen;;0-1;60;2001;David Loever Memorial Group A;A46 Queen's Pawn Game
223. T R Evensen vs Carlsen;;1-0;37;2001;David Loever Memorial Group A;E12 Queen's Indian
224. Carlsen vs G Stenersen;;0-1;36;2001;David Loever Memorial Group A;A35 English, Symmetrical
225. N A Mellem vs Carlsen;;1-0;41;2001;David Loever Memorial Group A;B60 Sicilian, Richter-Rauzer
Game;;Result;Moves;Year;Event/Locale;Opening
226. Carlsen vs J Snellingen;;1-0;49;2001;David Loever Memorial Group A;D88 Grunfeld, Spassky Variation, Main line, 10...cd, 11.cd
227. M Egeland vs Carlsen;;0-1;31;2002;Gausdal Troll Masters;B32 Sicilian
228. Carlsen vs P Johansson;;1-0;48;2002;Gausdal Troll Masters;D94 Grunfeld
229. M Womacka vs Carlsen;;1-0;54;2002;Gausdal Troll Masters;B42 Sicilian, Kan
230. C Hoi vs Carlsen;;1-0;55;2002;Gausdal Troll Masters;A46 Queen's Pawn Game
231. Carlsen vs O Hole;;½-½;27;2002;Gausdal Troll Masters;E54 Nimzo-Indian, 4.e3, Gligoric System
232. Carlsen vs O Rause;;0-1;64;2002;Gausdal Troll Masters;A09 Reti Opening
233. T Hansen vs Carlsen;;½-½;61;2002;Gausdal Troll Masters;E66 King's Indian, Fianchetto, Yugoslav Panno
234. S W Giddins vs Carlsen;;½-½;12;2002;Gausdal Troll Masters;A13 English
235. Carlsen vs A Bekker-Jensen;;1-0;23;2002;Gausdal Troll Masters;B50 Sicilian
236. K Christensen vs Carlsen;;0-1;27;2002;Ostlandserien 01/02 div. 1, Tempo - Asker;D55 Queen's Gambit Declined
237. Carlsen vs V Vojir Sr;;1-0;34;2002;I Open Marianske Lazne;B13 Caro-Kann, Exchange
238. J Turner vs Carlsen;;1-0;24;2002;I Open Marianske Lazne;A01 Nimzovich-Larsen Attack
239. Carlsen vs Jiri Sulc;;1-0;23;2002;I Open Marianske Lazne;A09 Reti Opening
240. R Schoen vs Carlsen;;0-1;29;2002;I Open Marianske Lazne;B03 Alekhine's Defense
241. Carlsen vs V Vojtek;;1-0;39;2002;I Open Marianske Lazne;D44 Queen's Gambit Declined Semi-Slav
242. Harald Golda vs Carlsen;;½-½;29;2002;I Open Marianske Lazne;E16 Queen's Indian
243. Carlsen vs O Heinzel;;½-½;30;2002;I Open Marianske Lazne;B01 Scandinavian
244. M Chetverik vs Carlsen;;½-½;40;2002;I Open Marianske Lazne;E16 Queen's Indian
245. Carlsen vs S Juricek;;½-½;14;2002;I Open Marianske Lazne;A15 English
246. Carlsen vs T Gulbrandsen;;1-0;35;2002;Ostlandserien 01/02 div. 1, Asker - Nordstrand;C05 French, Tarrasch
247. Carlsen vs H Runde;;1-0;32;2002;Ostlandserien 01/02 div. 1, ASKO II - Asker;B29 Sicilian, Nimzovich-Rubinstein
248. B Skjoldan vs Carlsen;;0-1;44;2002;Nordic Youth Ch Group D;D45 Queen's Gambit Declined Semi-Slav
249. Carlsen vs J Svanholm Fogh;;1-0;52;2002;Nordic Youth Ch Group D;B01 Scandinavian
250. J L Hammer vs Carlsen;;0-1;40;2002;Nordic Youth Ch Group D;A12 English with b3
Game;;Result;Moves;Year;Event/Locale;Opening
251. J L Hammer vs Carlsen;;0-1;40;2002;Nordic Youth Ch Group D;A12 English with b3
252. Carlsen vs J Oksa;;1-0;17;2002;Nordic Youth Ch Group D;A01 Nimzovich-Larsen Attack
